Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
wireless-bluetooth-sunglasses-open-ear-music-hands-free-calling-for-men-women-cv85s3259o3h4p4k7n7g,"Wireless Bluetooth Sunglasses Open Ear Music&Hands-Free Calling,For Men&Women","<p>Wireless Bluetooth Sunglasses Open Ear Music&amp;Hands-Free Calling,for Men&amp;Women</p>
",19378,,Mens Sunglasses,"",true,Title,Default Title,,,,,,,,DS095525,0.0,shopify,deny,manual,1799.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1741704623820-87.jpg?v=1780817283,1,"",false,,,,kg,,1451.00,active
wireless-bluetooth-sunglasses-open-ear-music-hands-free-calling-for-men-women-cv85s3259o3h4p4k7n7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1741704677927-71.jpg?v=1780817283,2,"",,,,,,,,
wireless-bluetooth-sunglasses-open-ear-music-hands-free-calling-for-men-women-cv85s3259o3h4p4k7n7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1741704771732-67.jpg?v=1780817284,3,"",,,,,,,,
wireless-bluetooth-sunglasses-open-ear-music-hands-free-calling-for-men-women-cv85s3259o3h4p4k7n7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1741704893546-60.jpg?v=1780817283,4,"",,,,,,,,
wireless-bluetooth-sunglasses-open-ear-music-hands-free-calling-for-men-women-cv85s3259o3h4p4k7n7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1741705014527-49.jpg?v=1780817284,5,"",,,,,,,,
hd-vision-goggles-anti-glare-polarized-sunglasses-men-women-cv85s3a59o3h4p4k7odg,Hd Vision Goggles Anti-Glare Polarized Sunglasses Men/Women,"<p>HD Vision Goggles Anti-Glare Polarized Sunglasses Men/Women</p>
",19378,,Mens Sunglasses,"",true,Title,Default Title,,,,,,,,DS095601,0.0,shopify,deny,manual,555.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1741704623888-163.jpg?v=1780817272,1,"",false,,,,kg,,238.00,active
hd-vision-goggles-anti-glare-polarized-sunglasses-men-women-cv85s3a59o3h4p4k7odg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1741704677888-143.jpg?v=1780817272,2,"",,,,,,,,
hd-vision-goggles-anti-glare-polarized-sunglasses-men-women-cv85s3a59o3h4p4k7odg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1741704772935-139.jpg?v=1780817272,3,"",,,,,,,,
hd-vision-goggles-anti-glare-polarized-sunglasses-men-women-cv85s3a59o3h4p4k7odg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1741704893644-129.jpg?v=1780817272,4,"",,,,,,,,
hd-vision-goggles-anti-glare-polarized-sunglasses-men-women-cv85s3a59o3h4p4k7odg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1741705014490-110.jpg?v=1780817272,5,"",,,,,,,,
